price,price_per_sqft,area,bedRoom,bathroom,floorNum
1.16,11693.0,992.0,5,4,3.0
2.65,18928.0,1400.0,3,3,4.0
7.0,194444.0,360.0,4,4,3.0
4.5,24390.0,1845.0,6,6,3.0
0.69,9103.0,758.0,1,1,2.0
4.25,31481.0,1350.0,5,5,3.0
4.75,9374.0,5067.0,5,5,1.0
8.5,21250.0,4000.0,4,5,2.0
4.45,32963.0,1350.0,4,3,2.0
5.0,232.0,215517.0,6,5,2.0
0.5,13889.0,360.0,5,3,3.0
8.0,63492.0,1260.0,2,1,1.0
6.8,31481.0,2160.0,4,5,3.0
4.3,28782.0,1494.0,9,9,3.0
11.3,25111.0,4500.0,7,5,4.0
1.85,74000.0,250.0,3,3,1.0
1.5,7576.0,1980.0,7,2,1.0
5.46,24170.0,2259.0,4,5,2.0
2.5,7058.0,3542.0,4,4,3.0
5.0,12500.0,4000.0,6,4,3.0
8.5,27139.0,3132.0,6,6,3.0
2.9,18626.0,1557.0,4,4,2.0
0.95,21111.0,450.0,2,1,3.0
0.42,8235.0,510.0,3,3,2.0
5.5,30556.0,1800.0,4,3,2.0
3.1,13778.0,2250.0,3,3,2.0
1.1,8730.0,1260.0,9,3,3.0
2.95,20233.0,1458.0,2,2,1.0
7.46,10260.0,7271.0,4,4,2.0
0.75,15625.0,480.0,4,4,1.0
9.55,19293.0,4950.0,6,7,2.0
4.7,21759.0,2160.0,3,3,2.0
1.7,9444.0,1800.0,1,1,1.0
1.5,11111.0,1350.0,5,5,3.0
12.5,40850.0,3060.0,4,4,2.0
6.0,315789.0,190.0,9,6,2.0
1.8,10000.0,1800.0,4,3,1.0
0.95,8920.0,1065.0,10,10,3.0
3.5,24155.0,1449.0,4,4,2.0
15.1,18605.0,8116.0,5,5,3.0
0.4,2500.0,1600.0,4,2,1.0
7.5,31686.0,2367.0,9,9,4.0
8.5,26235.0,3240.0,5,4,1.0
3.08,11407.0,2700.0,6,4,1.0
4.5,20000.0,2250.0,5,5,1.0
3.49,20197.0,1728.0,4,4,3.0
5.1,16569.0,3078.0,3,2,1.0
1.65,30556.0,540.0,4,4,4.0
7.25,26852.0,2700.0,9,9,2.0
1.7,18888.0,900.0,2,1,2.0
1.2,6230.0,1926.0,3,2,3.0
20.0,48889.0,4091.0,16,16,4.0
7.2,15926.0,4521.0,4,4,1.0
3.5,25926.0,1350.0,6,6,3.0
0.32,7111.0,450.0,2,3,1.0
3.09,6981.0,4426.0,5,5,14.0
0.55,4074.0,1350.0,3,3,2.0
3.75,20425.0,1836.0,4,4,3.0
0.82,3904.0,2100.0,3,2,1.0
0.4,9259.0,432.0,1,1,1.0
18.4,1859.0,98978.0,6,8,4.0
3.75,234375.0,160.0,4,4,3.0
0.55,6707.0,820.0,2,2,2.0
15.0,23437.0,6400.0,5,5,2.0
0.38,4222.0,900.0,3,3,3.0
1.45,8000.0,1812.0,3,2,1.0
2.1,38251.0,549.0,10,10,5.0
0.49,4260.0,1150.0,2,2,3.0
0.46,7302.0,630.0,6,3,3.0
8.0,26298.0,3042.0,9,9,4.0
1.75,11111.0,1575.0,4,2,2.0
10.0,22222.0,4500.0,5,5,2.0
7.5,16600.0,4518.0,3,3,1.0
1.45,241666.0,60.0,4,4,4.0
5.0,21124.0,2367.0,9,9,3.0
2.9,10740.0,2700.0,7,7,2.0
19.0,42054.0,4518.0,6,6,2.0
1.3,14444.0,900.0,6,4,3.0
2.25,24510.0,918.0,4,3,3.0
0.66,7168.0,921.0,2,2,4.0
4.5,125000.0,360.0,4,4,4.0
12.5,38580.0,3240.0,4,5,2.0
6.0,20000.0,3000.0,4,4,2.0
3.85,14650.0,2628.0,4,4,3.0
8.0,22222.0,3600.0,4,5,1.0
6.75,15000.0,4500.0,5,4,2.0
3.0,11494.0,2610.0,7,7,3.0
8.1,35294.0,2295.0,5,5,4.0
0.32,5664.0,565.0,5,1,1.0
0.5,5555.0,900.0,2,1,1.0
4.0,26613.0,1503.0,4,4,2.0
11.0,28898.0,3806.0,8,11,3.0
3.8,26063.0,1458.0,8,8,4.0
3.0,11904.0,2520.0,4,4,3.0
6.4,23704.0,2700.0,4,4,3.0
4.35,23693.0,1836.0,8,8,3.0
1.16,7539.0,1539.0,1,1,1.0
4.45,35185.0,1265.0,4,4,3.0
8.4,34568.0,2430.0,4,4,2.0
8.25,45833.0,1800.0,12,12,4.0
7.2,13333.0,5400.0,4,4,4.0
7.25,29336.0,2471.0,8,8,0.0
2.99,20635.0,1449.0,4,4,2.0
1.3,11556.0,1125.0,3,3,1.0
0.92,15257.0,603.0,4,4,4.0
6.4,24691.0,2592.0,3,4,2.0
6.2,25514.0,2430.0,5,5,2.0
10.0,37037.0,2700.0,5,5,3.0
0.8,8888.0,900.0,2,2,1.0
10.5,32407.0,3240.0,5,6,3.0
5.3,27390.0,1935.0,9,9,3.0
19.5,22222.0,8775.0,5,6,2.0
0.8,80000.0,100.0,13,6,3.0
7.0,28283.0,2475.0,7,7,3.0
1.1,6790.0,1620.0,5,3,2.0
1.5,14245.0,1053.0,2,3,1.0
0.7,7777.0,900.0,1,1,1.0
0.9,10000.0,900.0,6,4,3.0
1.16,11717.0,990.0,5,4,1.0
10.56,32593.0,3240.0,5,5,3.0
1.85,308333.0,60.0,8,8,5.0
1.87,8697.0,2150.0,3,4,12.0
0.9,11464.0,785.0,5,4,3.0
4.15,18444.0,2250.0,5,4,2.0
0.36,7843.0,459.0,2,2,1.0
1.6,29629.0,540.0,8,5,4.0
0.6,13333.0,450.0,3,3,3.0
1.3,11284.0,1152.0,3,2,3.0
12.0,37037.0,3240.0,5,5,3.0
11.0,33951.0,3240.0,4,4,3.0
4.35,13501.0,3222.0,4,4,2.0
5.7,10556.0,5400.0,4,5,3.0
18.0,39841.0,4518.0,6,6,3.0
6.0,22222.0,2700.0,4,4,2.0
0.75,6938.0,1081.0,3,1,1.0
2.4,99173.0,242.0,8,4,2.0
13.2,27155.0,4861.0,6,6,2.0
1.45,2.0,7250000.0,4,3,3.0
0.38,8444.0,450.0,1,1,1.0
11.58,35741.0,3240.0,5,5,2.0
3.93,24214.0,1623.0,19,17,4.0
10.45,32253.0,3240.0,5,7,3.0
